Registrikood;Nimi;Liik;Registreeritud käibemaksukohustuslaste registrisse;EMTAK tegevusvaldkond, mis on EMTAKi struktuuris tähistatud tähtkoodiga;Maakond;Riiklikud Maksud;Tööjõumaksud Ja Maksed;Kaive;Tootajaid
14417028;KAISAN OÜ;Äriühing;jah;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Tartu ( Tartu linn );1821,19;0;20581,81;
14417034;ESTATE-V OÜ;Äriühing;jah;KINNISVARAALANE TEGEVUS;Ida-Viru ( Narva linn );14843,73;0;72049,18;
14417040;ELUISU OÜ;Äriühing;jah;HALDUS- JA ABITEGEVUSED;Pärnu ( Pärnu linn );7951,51;1583,87;42643,57;1
14417086;NORDIC LIVESTOCK OÜ;Äriühing;jah;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Pärnu ( Pärnu linn );;;0;
14417092;LUITE 19A RE OÜ;Äriühing;jah;KINNISVARAALANE TEGEVUS;Harju ( Tallinn );7675,77;0;49547,52;
14417117;OOMIPOISID OÜ;Äriühing;jah;EHITUS;Jõgeva ( Jõgeva vald );3116,79;1950,78;10407,9;3
14417123;LIHAMAAILM OÜ;Äriühing;jah;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Harju ( Tallinn );2513,01;1933,61;30434,14;1
14417138;UIR EHITUS OÜ;Äriühing;jah;EHITUS;Harju ( Tallinn );5517,45;1186,52;37148,46;
14417152;HUNDIMAJA OÜ;Äriühing;jah;EHITUS;Pärnu ( Pärnu linn );1949,87;1002,67;6500;1
14417169;TALUAND OÜ;Äriühing;jah;PÕLLUMAJANDUS, METSAMAJANDUS JA KALAPÜÜK;Viljandi ( Viljandi vald );282,48;0;2909,44;
14417287;SV PIPES OÜ;Äriühing;jah;EHITUS;Harju ( Rae vald );3295,76;510,13;25888,01;
14417293;RKM OÜ;Äriühing;jah;EHITUS;Harju ( Tallinn );6768,93;3081,2;22761,4;3
14417318;DKK PRODUCTION OÜ;Äriühing;ei;MUUD TEENINDAVAD TEGEVUSED;Harju ( Tallinn );717,75;771,87;;1
14417324;JA KINNISVARA OÜ;Äriühing;jah;KINNISVARAALANE TEGEVUS;Viljandi ( Viljandi vald );6,6;0;783;
14417330;1U4 OÜ;Äriühing;ei;PÕLLUMAJANDUS, METSAMAJANDUS JA KALAPÜÜK;Rapla ( Rapla vald );1690,11;1861,71;;1
14417347;TK MOBILE OÜ;Äriühing;jah;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Tartu ( Kambja vald );138,18;0;2744,27;
14417353;ERMO OÜ;Äriühing;jah;EHITUS;Pärnu ( Tori vald );718,25;717,75;0;1
14417407;HRT OÜ;Äriühing;jah;KINNISVARAALANE TEGEVUS;Põlva ( Kanepi vald );0;1001,94;0;1
14417421;TIRI OÜ;Äriühing;ei;MUUD TEENINDAVAD TEGEVUSED;Harju ( Tallinn );647,46;733,77;;1
14417436;ROTERMANN MAJAD OÜ;Äriühing;jah;FINANTS- JA KINDLUSTUSTEGEVUS;Harju ( Tallinn );;;0;
