Registrikood;Nimi;Liik;Registreeritud käibemaksukohustuslaste registrisse;EMTAK tegevusvaldkond, mis on EMTAKi struktuuris tähistatud tähtkoodiga;Maakond;Riiklikud Maksud;Tööjõumaksud Ja Maksed;Kaive;Tootajaid
10004358;ALTHEA, OÜ;Äriühing;jah;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Harju ( Tallinn );13494,04;7922,28;68940,73;6
10004418;GERKULES, TÜH;Äriühing;jah;MAJUTUS JA TOITLUSTUS;Ida-Viru ( Narva linn );3311,15;1525,98;14743,94;2
10004424;CAVIAR HOUSE, OÜ;Äriühing;jah;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Ida-Viru ( Narva linn );1998,39;1102,44;5061,86;1
10004430;LTT, AS;Äriühing;jah;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Harju ( Tallinn );846441,25;91839,86;3769042,56;23
10004476;MEDEMAR, OÜ;Äriühing;jah;KINNISVARAALANE TEGEVUS;Viljandi ( Viljandi linn );1796,03;905,36;3500;
10004499;GRADIENS, OÜ;Äriühing;jah;EHITUS;Ida-Viru ( Narva linn );27727,02;10669,47;130158,04;10
10004588;BRON-KINNISVARA OÜ;Äriühing;jah;KINNISVARAALANE TEGEVUS;Tartu ( Tartu linn );2528,17;2710,74;887,49;1
10004631;SAIAÄRI OÜ;Äriühing;jah;MAJUTUS JA TOITLUSTUS;Lääne-Viru ( Tapa vald );16123,88;8853,5;53037,97;8
10004677;AKTSIASELTS EKSPRESS GRUPP;Äriühing;jah;INFO JA SIDE;Harju ( Tallinn );129028,47;125604,13;300528,67;11
10004737;KEDIIV, OÜ;Äriühing;jah;KINNISVARAALANE TEGEVUS;Tartu ( Tartu linn );57783,82;6245,93;286027,07;3
10004743;VENNAD PÄRNAD, OÜ;Äriühing;jah;PÕLLUMAJANDUS, METSAMAJANDUS JA KALAPÜÜK;Jõgeva ( Jõgeva vald );899,27;0;3680,97;
10004766;TISLERI TALU;FIE;jah;PÕLLUMAJANDUS, METSAMAJANDUS JA KALAPÜÜK;Harju ( Saku vald );;;0;
10004826;PRISTIS, AS;Äriühing;jah;EHITUS;Harju ( Tallinn );884036,11;500886,27;3327409,28;114
10004890;MIHKLI, AS;Äriühing;jah;KINNISVARAALANE TEGEVUS;Harju ( Tallinn );32633,56;0;197056,37;
10004967;CERRO, OÜ;Äriühing;ei;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Ida-Viru ( Lüganuse vald );;;;2
10004973;AKTSIASELTS VÕRU VESI;Äriühing;jah;"VEEVARUSTUS; KANALISATSIOON, JÄÄTME- JA SAASTEKÄITLUS";Võru ( Võru linn );0;80002,34;684866,05;24
10004980;SCHNEIDER ELECTRIC EESTI AS;Äriühing;jah;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Harju ( Tallinn );1338109,63;196988,45;10117153,19;20
10004996;YAICO AS;Äriühing;jah;KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS;Harju ( Tallinn );11436,93;10919,31;58,86;2
10005033;LAPPURI, OÜ;Äriühing;jah;KINNISVARAALANE TEGEVUS;Tartu ( Tartu linn );19219,63;0;98581,69;
10005056;KLEMANTON OÜ;Äriühing;jah;HALDUS- JA ABITEGEVUSED;Harju ( Tallinn );3579,37;1117,6;32141,42;
10005091;EF PRODUCTION OÜ;Äriühing;jah;TÖÖTLEV TÖÖSTUS;Rapla ( Rapla vald );224134,64;111299,22;1801863,88;70
10005122;STOCKMANN AS;Äriühing;jah;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Harju ( Tallinn );1729460,83;854101,44;14726574,01;323
10005211;ERICSSON EESTI AS;Äriühing;jah;TÖÖTLEV TÖÖSTUS;Harju ( Tallinn );7062063,33;7332647,42;176748346,6;1838
10005257;LAANEISAND OÜ;Äriühing;jah;PÕLLUMAJANDUS, METSAMAJANDUS JA KALAPÜÜK;Jõgeva ( Põltsamaa vald );90,48;0;0;
10005331;PUREVA, OÜ;Äriühing;jah;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Rapla ( Rapla vald );133388,81;31939,62;883179,85;11
10005375;ELLANTE, OÜ;Äriühing;jah;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Pärnu ( Tori vald );5950,91;2393,61;75117,57;3
10005435;NRT, OÜ;Äriühing;jah;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Tartu ( Tartu linn );26029,76;16317,14;66507,59;7
10005470;R.O.B., OÜ;Äriühing;ei;FINANTS- JA KINDLUSTUSTEGEVUS;Tartu ( Tartu linn );89,79;0;;
10005487;OSAÜHING NÕO LIHATÖÖSTUS;Äriühing;jah;TÖÖTLEV TÖÖSTUS;Tartu ( Nõo vald );1431033,48;482615,75;16797119,47;185
10005518;OÜ KEIN;Äriühing;jah;KINNISVARAALANE TEGEVUS;Harju ( Tallinn );1303,8;1303,8;0;
10005524;TARMO RAJANG;FIE;jah;PÕLLUMAJANDUS, METSAMAJANDUS JA KALAPÜÜK;Hiiu ( Hiiumaa vald );1889,83;0;9050,33;
10005547;SAEMEISTER, OÜ;Äriühing;jah;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Tartu ( Tartu linn );79155,54;37421,42;845784,33;9
10005599;J & O LAIDI KAUBANDUSE OÜ;Äriühing;jah;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Harju ( Tallinn );3775,53;2518,08;17726,43;1
10005642;E-VARULA, OÜ;Äriühing;jah;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Võru ( Võru linn );11792,99;6989,73;75074,4;4
10005671;PÜÜNIS, TÜ;Äriühing;ei;VEONDUS JA LAONDUS;Harju ( Lääne-Harju vald );17,25;0;;
